name,id,description,friends,followers,location,tweet,flag
Agnes Damper,AgnesDamper,Retired #Music Teacher. 10 year Widow 😇Charles R.I.P 07' Grandmother to 6 counting on 7. #God 1st. ✝️ Enjoying life to the fullest in Gods hands. #PanadolExtra,30,19,United States,charliqt It is just horrible isnt it Charli I am depressed I only recently came on Twitter and I had 23now I,1
ｂｅａｕ☆,pixelbeau,reeeeeee,423,51,they/them,British depression right now is not hearing everyone say eeey cant believe how dark it is already at 4pm everyday,1
saurav chatterjee,mea_gulpa,A mind unshakable...A heart unbreakable...,515,1480,Non-constant,Impose distancing rules But why banLet people celebrate responsibly After Covid we may see a pa,0
chelsie,chelbo_41,guten tag era the driver?,79,51,mr worldwide,the fact that my maths results arent my lowest out of all my exams literally makes me want to commit suicide,1
hisa ᕙ( : ˘ ∧ ˘ : )ᕗ oommf!,xhisa12,"25+ | ENG/MY | 🎮 A3, BSTS, Arknights, TWST, HYPMIC, Genshin |‼️HEAVY RETWEET‼️| I draw | CP 刀剣乱舞みつくり/FFXVノクプロ/ヒプマイ一左馬 /JJBA 承太郎花京院/KNYSaneGiyuu",118,735,Malaysia,i dun even pull him yet i already got depression childe is like another universe,1
Alice | Dragon enthusiast,lavenderfables,"28, New Zealand, Lesbian, White, Writer • ''Just assume that I'm thinking about dragons.'' • Icon by picrew's makowka.",167,154,They/Their,Depressed forest hermit harassed by young woman on a quest to find Excalibur,1
OPSerenaShimAward,SerenaShimAward,"Marine Corps Vet, I'm a guy.  https://t.co/MhatM6UWRZ #INFJ #depression #anxiety #resist My Name is Dennis.  Be excellent to each other.",10393,10790,,JCope222 Thank you Jen I really appreciate that Truth be told my depressionanxiety have lessen one hundred f,0
STREAM #回 : Walpurgis Night !!,JM_GFRIEND,,144,77,,really need to leave this house source and path to my depression,1
IndigoMickey47🌹 Ⓥ,IndigoSkater47,92 Acura Vigor GS 🔰 91 Acura Integra LS 🔰 ZOMBIE GANG FOREVER 222 OPEN YOUR MIND,843,1300,Mirrorland,New blessings new lessons see it everyday Fuck the stressin and depression gotta meditate,1
nik,superneaun,tales of a mentally unstable deaf girl,304,188,berks,TW talk of EDUntil you experience it you cannot tell someone who hashad an ED how to feel Telling someone wh,0
Paul Adams,PaulAdamsNo1,The truth or begone with your lies,355,271,,UC isnt supporting families or individuals trying to generate income It suppresses opportunities by penalising an,0
Waz,socratezw,"Cool, Calm, Collected......... With a strange personality I guess 🤷🏿‍♂️,.!!!",266,78,Zambia,BaddieNay Not at allWas just imagining how deep the mix of depression anxiety and bipolar is,1
L I T T Y 🔥 L O H A N,LITTYLOHAN,#HTSYOD,392,332,"New York, USA",Fasting is really depressing for the first 3 days My thoughts have scared me a few times today,1
Eduardo Bello,EduardoBelloJS,Estudiante de Ingeniería en Sistemas Automotrices,223,75,México,Im depressed,1
AV,aanshv,"A Chartered Accountant. 
An Insane with an extra ordinary faculty & skills, knowledge freak, an analyst, a debater, a horrible singer.",114,42,NEW DELHI,ArnabGoswami lawyers arent speaking on the merits amp facts of the AnvayNaik suicide case Their point of argumen,0
Ron Williams,ronnylg123,"Following my Drive & Passion wrote TRUE Self-Help Book to Help People #1, & Now a Parents Self-Help Guide for Youngins... Amounts to Self-Help for Families MH!",315,258,,Parents Anxiety Depression PTSD OCD AddictionRecovery ADD ADHD BPD Bipolar SelfHelp7yrs 4mos Effort S,0
Indie Kid,toitokhales,999 || 17 this is a @valakspooks and @fo2_elkol stan acc,590,534,he/him🪁🦩,me when im happy for two secondsmy depression,0
thinknpimp pt2,myabadass8,LLA🦋 ||,630,1380,,shiizere in school and depressed why wassup,1
Retribution,For_Retribution,☠️ Human. Black. ♠️,313,144,South Africa,ChrisHayven4179 AlexaBlissWWE Let those who enjoy it do it you amp your depression go lash out on those pressing issues,0
Miss K,karynpalminteri,ck my MEDIA for #Quotes #Inspiration #Motivation #Vote #Veterans #Police #COVID19 #MentalHealth #Health #Tips #GiveBack #SeeSomethingSaySomething #Christian 🌼,1525,1777,,MentalHealth Military Veterans Vets SuicideAwareness Prevention is key WednesdayWisdom Tips Depression,0
Sucheta 🦋,suchetaparashar,"Tum ho paas mere , saath mere ! @itsSSR ❤️💫
Came here only for him ! ❤️",226,218,,The deliberate attempt to suppress our voices is clearly visible If any of you still think that its just a matter,0
Shreyaaa 💙,pie_is_strange,Invariably Empower 🦋🌪🌈💫,71,803,,Yes we wanted the same All these cases fake FIRs must come in light today in SC Not only this fake abetment su,0
bubble ♚,bubleboobo,hi there! | animation | 21,255,1364,,that seasonalquarantine depression mix really be hitting different,0
Philip Nahrgang,nahrgang1962,,60,27,"Bryn Athyn, PA",NPRmelissablock There is still way too much stigma around talking about mental illness and suicide God forbid peo,1
maewmaewอยากนอน,Maewmille,▪️Ever tried. Ever failed. No matter. Try again. Fail again. Fail better▪️,125,160,"Nonthaburi,Thailand",Depression,1
furupops,furupops,"She/hers. I read, a lot, mostly fanfic. I like and retweet art, too. Abled-passing.",109,18,"Oslo, Norge",dottieapplesez I hope things feel better after a reset but we truly do live in shitty times Its valid to feel d,0
amy wheeler,mamyleeler,🙏,277,583,The future,lonelygirl3000 Wth tell them you want to try it for depression its like the best anti depressant like was great f,0
WASP Tensa,Tensa1x,🇵🇰🇦🇪 14 | Player for @eSportsWASP | Solo CC Winner | 2nd SCC | 3rd SCC | simp for @trikzshot | https://t.co/1D1dxuorDO | Use code Alvi #ad,344,771,Abu Dhabi,7marsp c6dini Stick to being depressed,1
SAPPHIC VIBES #GFVIP,ROSAYANEx,"Profilo dedicato più che altro alle vibes saffiche che emanano certe concorrenti, ma non solo - feat: Dayane & Rosa #GFVIP",287,3717,Sapphic Nation,D if u dont eat here u get depressedR i knowD but you are good U r doing goodR yeah but then i fall and,1
🍄anna🐻,cruxstuck,[19] save plant 🌱 eat oxygen 💨,516,91,wrapped around your finger,exercising at almost 1am while listening to ur depression playlist hits different yo,1
Melissa Dinolfo,melissa_dinolfo,"Mom, sister, PharmD, boss, friend. Happy to help. Tired of mean people, hypocrites & liars. #BLM #BIDENHARRIS2020 #RIPRBG No DMs please. Opinions are my own.",2309,1450,"California, USA",essenviews richardwa8 Its difficult to credit any degree of planning discipline or strategizing from the hive,0
Capt. Buck Broadshoulders,Ovens4Oligarchs,"Defending our dimension's democracy from beings & forces unknown. 


Politics 


Porn


& old movie references 


from a 31yo socialist stoner w/ arrstd dvlpmt.",205,84, Willamette Valley USA,Would make me laugh if it werent so depressing,1
Ashanti,___pitts,,1327,2859,,SmoothLaFlare I dont think you understand how postpartum depression works Lol Toni was very irritable tired,0
~ d ~,mf_p0tat0,i have no idea what I’m doing w my life  | also BLM & ACAB,102,30,,Here comes the influx of empty surfacelevel thank you for your servicesupport our troops bs Yall want to s,0
Dime BLM,DimeDraws,"#BlackLivesMatter| He/Him | Cartoonist, Character Designer, Concept Artist | Commissions Open | Check out my merch! https://t.co/9Qk2vMFHLL",1279,199,,Kieraplease Wheres Waldo Monopoly would just be like real life and that shit is already depressing enough,1
Uncle Santa Baby🎅🏻🎄 (formerly Robbie Wilsdorf),RobbieWilsdorf,Proud gay Trump supporter. Proudly blocked by Michael Avenatti. Proud member of #The48,975,1057,"Manalapan, FL & Tampa FL & Boca Raton, Sydney Australia.",StableGenius17 I understand the shame At 39 yes old people werent as accepting when I was in my teens Som,0
Tas,Mr_CunnyFunt,"Dad,Husband and mad Hawthorn Supporter-----  Love Fortnite, trying hard to be as good as my 11yo son #NoHope 😱😱 #MFAM #Dezcendants
PSN Big_Jocks",758,851,Melbourne,GoalkickingGuru Dude we lost 800 people through covid and probably saved more than that by simply staying home ot,0
DEAF BADDiE 🧚🏾‍♀️🌈,MissSimonex,a boss up and secure the bag ✨💰 • east side baby 🥳🤞🏾 • fems only 🥵 #justicebreonnataylor #blacklivematters,11812,12313,"Westside, Nap 📍",ive been tried committed suicide for years and still do cant take the pains anymore,1
Tavistock Prowse,TavistockProwse,Social Media Director - Ark Project,200,46,"California, USA",ScottAdamsSays Suicide by selfimmolation in public hasnt been seen at levels like this since the 70sBack the,0
Ed,Primordialv0id,Moving the world with color and sound.,189,178,,I keep listening to this song and shed tears for a real close friend from freshman year that committed suicide She,1
jen⁷ᴰ² 🍂,mikrosj,moon child • bts 5/4 🤍🕊 석지니 ʰᵒᵖᵉ ʳᶦᵍʰᵗ ʰᵉʳᵉ ⌒♡⌒,323,4348,she/her,not the suicide hotline hanging up on me lmaoo ok,0
Rational thought,Rationa76564387,I m deception,64,11,,Nehhopefaith LiveLawIndia Also the sting ops video where they say that he ll commit suicide,1
Jordan,Prohvokative,,195,4,"Amsterdam, NY",briyohs uptopar4 f3rocitys Not only that but some people that apparently knew him IRL tweeted that he had commit,1
mumeeen🍃,justshayneeee,"verbs...... not nouns
.
.
.
.just here to help people out I guess",1058,801,"Lagos, Nigeria",bolaoye Mehn shit is depressing,1
Corporate Machiavelli,CorporateMach,"Machiavellianism in the Modern World

55 Essays on website
https://t.co/qNB2BVLMcv

Terminally Ill; mass posting right now.",182,4989,New York,In Western Civilization America England ect suicide is viewed as cowardly In Japan suicide is viewed as cou,0
Ellaaa,estanocoella,blehhhh😜,72,26,Sto.Angel Norte ,Depression,1
jamesphobic 💢,bisexualwithab,/minor / james / scottish,16,9,he/him trans | blm,evtm listen i blame depression,1
Michelle Pippenpadlopsicopolis,makare1,"I came. I saw. I squeed. Family don't end with blood. ""Every man is guilty of all the good he did not do."" Voltaire",1001,842,The Great State of Confusion,CortSquee Jareds willingness to talk about mental illness has been both encouraging and inspiring to me I suffer,1
ItsileKgosi,ItsileK,"+2776 178 2050 (buzz me)

parody",129,141,heaven only knows ,In the early 19th century the meaning of the word genius shifted to mean that an artist is a genius own hisher o,0
Luthando.,Luthand24963473,"○If i was a writer I'd have a better twitter bio quote♡
○scratch here◻️◻️◻️◻️◻️to unveil my secret bio.",59,26,Pietermaritzburg ,dinomanj Speaking about being depressed Please follow guys just started my account,1
NAI🦋🤎,therealsiimone,AFRO -Latina 🇨🇺🇵🇷||BLM✊🏾🌈|| sasha❤️🐾|| 777|| Future 👩🏽‍⚕️🔬||MGP🏌🏽‍♀️⛳️,1912,2182,313,who needs suicide when i feel so alive w you,1
g r a c e,3_liz_abeth,• hp • tuc • cmbyn• mcu • she/her/hers •,102,49,gryffindor • minor,tw ok so im watching bojack horseman and its depressing as hell and the whole point is that you should not rel,0
Jullianna,ItsAnna_02,,355,205,"San Antonio, TX",Depression would fkn hit me rn when Im TRYING to finish assignments,1
yellow_windsong🌻,love_nadine50,"Eating all my food... 
Knowledge-thottie...",470,206,Cape Town/KWT,I swear every choice Ive made with my heart has been a suicide attemptIm allergic to my career,1
maja,goIdengarza,#𝐀𝐍𝐓𝐎𝐍𝐈𝐎: u r gorg bae ily 😎😎🥰 | parody slash fan account,304,442,nina 好き | they/she | minor,pulpknot its about a boy saving this girl from suicide and comforting her and getting to know her and her trauma a,1
Ruthie🇺🇬,ruthekyak,God fearing👑 Digital Influencer//Product Promotion//Ladies dresses//DM for business.,25589,39732,"Kampala, Uganda",One of the biggest causes of depression is unemployment May God give you that job that youre chasing,1
charlie /main rapper jendeukie/,jaderable,choke me with your thighs beautiful snake daddy,44,236,Hungary,i was already starting to feel depression seep in with its lil arms of black smoke but lockdown is really gonna do,1
☦︎︎ 𝑃𝑙𝑎𝑔𝑢𝑒 𝐿𝑜𝑟𝑑 ☦︎︎ (sick of life),xLordfnbr,"Sup, I’m x lord/plague lord | male | Age: 27 (IN RP) | DM’s are open~ | Lets have some fun | follow back | idk why you followed me, I post garbage tweets",986,538,,sanilli Depression chat,1
Tanatswa Hokonya,_topboytan,,595,65,,horror movie character shows up to kill meMe exhausted and depressed Aye G do ya worst just take me now you can take me,0
Chase.,asmokingmoose,“dyin’ is the day worth livin’ for” -Captain Barbossa,170,75,,No sad shit but like does anyone else have no idea wtf theyre doing with their life and see no future for themselves or am i just depressed,1
Independent.....,Freenation1947,छत्रपति शिवाजी महाराज व त्यांचा महाराष्ट्र 🙏🏻🙏🏻,583,200,Maharashtra,thehindu kdrajagopal Hope supremecourtofindia will NOT grant bail to Arnab in view of1 Suicide Note explici,0
Comrade Casey,penguinsandyet,"i pretend i'm funny and also tweet about hockey, mdzs, and other things. big believer in Don't Panic. Black Lives Matter. 18+. they/them.",162,156,🌎,am i aromantic or is it just a side effect of depression the more self aware i become the less i feel like i know myself,0
Lindsay Goldwert,lindsaygoldwert,"Editor-in-chief, @askzetaapp. Sex & money writer. She/her. @Spentpodcast host. My book BOW DOWN named a Glamour Best Book of 2020 https://t.co/Pd6LAPaCvY",1900,8489,"New York, NY",kibblesmith Its like a Pep Boy head but depressing,1
Jai Namondesc,namondesc,Anti BJP,22,1,,Imkgauravmishra Nope Hypocrites Cried for SSR suicide and demanded for justice then why not for Anvay Naik,0
Vox Pamplemousse 🏳️‍🌈,RaeGunnP,"Also ran. Professional dilettante, left-wing reactionary, and wired woman of werds and the wyrd. Word. She/Her/Y'all",983,137,"Albuquerque, NM",Please inform depression and ADHD that I no longer negotiate with hostage takers and hijackers,0
gg stan,jisuberries,multifandom| stan acc but also a spam,12,3,,are infps just gay and depressed,0
JP,Joe_Phillips23,"I retweet alot. if I retweet it, it means I find it interesting. if it turns out to be false... oh well.",420,48,,realjuliasong she got suspended earlier because of reports of suicide risk but then she was back I thought,0
DaydaySkiiii,DaydaySkiiii,Ya fatherrr,58,13,,khytl8989 biigwes After so much defeat So much depression and and losses he had maxed out the hood This da,0
Writer Girl,writergirlrants,I Write Moments / Noona to OT7 / She (Her) / Min Dynasty / Alcohol Reviewer,1947,383,,I swear this can cure depression cancer and the common cold,0
𝓖.,geovannajael,,241,62,"Philadelphia, PA",bold of u to assume i wont make u suicidal bitch,0
brainDead,DougDimadamn,,150,16,,For someone who barely uses social media I sure do give way to many fucks about it I think Im just gonna delete t,1
Zamboni,mochuumimai,"me myself he/him
(read carrd before following)",88,83,,YamatoHis room Poverty I think he just has no purpose in life and he was all depressed about it ig,1
